neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating,review_scores_cleanliness,review_scores_location,amenities_count,wifi,kitchen,tv,air_conditioning,washer,dryer,dishwasher,microwave,refrigerator,workspace,gym,pets_allowed,parking,elevator,self_check_in,stay_length,checkin_month
Kensington,Brooklyn,40.64593716028213,-73.97216373838066,Private room,2,1.0,1.0,2.0,4.8,4.9,4.78,49,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,30,7
Williamsburg,Brooklyn,40.70935,-73.95342,Entire home/apt,3,1.0,2.0,1.0,4.6,4.85,4.69,26,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,30,12
East Harlem,Manhattan,40.80107,-73.94255,Private room,1,1.0,,1.0,5.0,5.0,5.0,18,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,30,9
East Harlem,Manhattan,40.78778,-73.94759,Private room,1,1.0,,1.0,4.88,4.95,4.85,22,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,30,12
Fort Greene,Brooklyn,40.69194,-73.97389,Private room,2,1.0,,2.0,4.89,4.89,4.95,50,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,30,2
Williamsburg,Brooklyn,40.718807220458984,-73.9561767578125,Entire home/apt,2,1.0,,1.0,4.92,4.7,5.0,58,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,30,1
Fort Greene,Brooklyn,40.6974983215332,-73.97722625732422,Entire home/apt,4,1.0,3.0,3.0,4.67,4.64,4.29,54,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,30,7
Harlem,Manhattan,40.82176,-73.94522,Entire home/apt,4,1.0,1.0,2.0,,,,9,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,30,7
Lower East Side,Manhattan,40.719482,-73.98877,Entire home/apt,4,1.0,2.0,2.0,4.64,4.26,4.92,35,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,30,11
Financial District,Manhattan,40.70867,-74.00303,Private room,1,1.0,1.0,1.0,4.94,4.88,4.94,39,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,30,8
Flatbush,Brooklyn,40.6447193,-73.966453,Private room,1,,,,4.97,4.95,4.91,28,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,30,1
Bedford-Stuyvesant,Brooklyn,40.684555843449075,-73.93963415175676,Entire home/apt,5,1.0,1.0,4.0,4.77,4.74,4.67,52,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,30,12
Hell's Kitchen,Manhattan,40.76724,-73.98664,Entire home/apt,2,1.0,,1.0,4.52,4.16,4.95,45,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,30,8
Harlem,Manhattan,40.82402,-73.95263,Private room,1,,,1.0,4.76,4.64,4.7,33,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,30,3
Astoria,Queens,40.76406,-73.92266,Entire home/apt,2,1.0,1.0,1.0,4.65,4.5,4.85,22,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,30,6
Harlem,Manhattan,40.80384,-73.95123,Entire home/apt,2,1.0,,2.0,4.53,4.43,4.35,32,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,30,10
Bedford-Stuyvesant,Brooklyn,40.68462,-73.92895,Entire home/apt,2,1.0,1.0,2.0,4.83,4.87,4.42,42,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,30,11
Bedford-Stuyvesant,Brooklyn,40.68595,-73.92923,Entire home/apt,2,1.0,1.0,1.0,4.86,4.84,4.72,31,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,30,6
Harlem,Manhattan,40.81127,-73.94561,Entire home/apt,5,1.0,1.0,2.0,4.64,4.56,4.48,33,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,30,8
Park Slope,Brooklyn,40.67497,-73.97796,Private room,3,2.5,2.0,2.0,4.87,4.81,4.95,35,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,3,7
Bedford-Stuyvesant,Brooklyn,40.68294,-73.95682,Private room,2,,,2.0,4.66,4.62,4.42,41,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,30,7
Williamsburg,Brooklyn,40.72136,-73.95674,Entire home/apt,2,,1.0,,5.0,5.0,5.0,54,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,60,10
Crown Heights,Brooklyn,40.66385,-73.93229,Private room,1,1.0,,1.0,4.84,4.91,4.28,39,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,30,6
Astoria,Queens,40.76716,-73.91177,Private room,2,1.0,,1.0,4.71,4.32,4.63,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,30,6
Woodside,Queens,40.74496,-73.91167,Private room,2,1.0,,2.0,4.79,4.86,4.76,28,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,30,6
East Village,Manhattan,40.72499,-73.99198,Entire home/apt,4,1.0,1.0,1.0,4.8,4.61,4.97,24,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,30,7
Long Island City,Queens,40.74757,-73.94571,Private room,2,1.0,,2.0,4.92,4.86,4.91,36,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,7
Bedford-Stuyvesant,Brooklyn,40.67946,-73.95417,Entire home/apt,2,1.0,1.0,1.0,4.59,4.47,4.13,29,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,30,8
Greenpoint,Brooklyn,40.73535,-73.95584,Entire home/apt,2,1.0,1.0,1.0,4.83,4.91,4.8,53,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,30,6
Williamsburg,Brooklyn,40.71347,-73.96035,Entire home/apt,4,1.0,,3.0,4.93,4.91,4.97,33,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,30,8
Park Slope,Brooklyn,40.67487,-73.97637,Private room,5,,3.0,3.0,4.45,4.34,4.88,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,30,7
Harlem,Manhattan,40.80687,-73.95333,Entire home/apt,4,1.0,2.0,3.0,4.9,4.63,4.67,23,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,30,6
Harlem,Manhattan,40.80392,-73.94765,Entire home/apt,2,1.5,1.0,1.0,4.75,4.72,4.56,35,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,30,6
Upper West Side,Manhattan,40.79999,-73.96338,Entire home/apt,3,1.0,2.0,2.0,4.75,4.47,4.83,25,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,31,12
Lower East Side,Manhattan,40.721359,-73.993668,Entire home/apt,2,,1.0,,4.62,4.44,4.74,66,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,30,7
Clinton Hill,Brooklyn,40.69121,-73.96804,Private room,1,1.0,,2.0,4.69,4.34,4.76,33,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,30,1
