Feature,Importance
Accommodates,0.23263273493440545
Stay Length,0.18812611624323156
Longitude,0.10608701281229355
Room Type: Entire Home/Apt,0.09256851090483321
Latitude,0.06077694302683738
Bathrooms,0.05147473958598465
Checkin Month,0.04525290520154984
Amenities Count,0.02882066439863518
Bedrooms,0.025209753287455033
Gym,0.022739146176710974
Review Scores Cleanliness,0.013646586290213486
Review Scores Rating,0.01312040919132587
Review Scores Location,0.012286060720009116
Room Type: Private Room,0.00782015932499389
Beds,0.007345563965754777
Dishwasher,0.006495129522107083
Neighborhood: Manhattan,0.006386379539448974
Tv,0.005328649792373181
Pets Allowed,0.0039647071274556646
Washer,0.0034297711785175435
Workspace,0.0034176038541611615
Parking,0.0029964600966332485
Upper East Side,0.0029301056563427975
Self Check In,0.0029281211455261884
Elevator,0.0027345200673649225
Kitchen,0.0025507862044322274
Refrigerator,0.0022915105713338926
Air Conditioning,0.0022549869574425238
Microwave,0.0022276675014298144
Dryer,0.0018917780762908525
Room Type: Shared Room,0.0017154911885490839
Midtown,0.00168770350344821
Williamsburg,0.0015853460722586666
Hell'S Kitchen,0.00140715565369161
Greenpoint,0.0013354311024755473
Room Type: Hotel Room,0.001194912815804642
Neighborhood: Brooklyn,0.001114668847982771
Lower East Side,0.0010747111849810035
Greenwich Village,0.0008858237809292944
Flatiron District,0.0008328716158753154
Bedford-Stuyvesant,0.0008290900959100056
East Harlem,0.0007690496529806938
Wifi,0.0007495244994798008
Neighborhood: Queens,0.000685332553626456
Soho,0.0006562228422559252
Chelsea,0.0006352869059197372
Bushwick,0.000628743248287071
East Village,0.000621702842772492
East Flatbush,0.0006214348726248861
Long Island City,0.0006071823486587019
Bayside,0.000554719487406533
Kips Bay,0.0005304934930331341
West Village,0.0005177069342376206
Harlem,0.0005104320897758233
Upper West Side,0.0004914973723275549
Crown Heights,0.00047070941209573247
Ozone Park,0.00046749587813049037
Financial District,0.0004514545346869364
Gramercy,0.000445742464058107
Theater District,0.000433710949768313
Murray Hill,0.0004055138879279072
Astoria,0.0003831563783489313
Fieldston,0.00036968306711047044
South Slope,0.0003593791014674262
East New York,0.0003562701812505273
Flushing,0.0003403448760166785
Howard Beach,0.0003383642235899061
Cypress Hills,0.0003343683741085636
East Elmhurst,0.00032686540121644307
Sunnyside,0.00032122223398195027
Chinatown,0.00031847308950776215
Ditmars Steinway,0.0003130317142710315
Fresh Meadows,0.00030719450694173333
Mill Basin,0.000283191363960041
Arverne,0.00027177863223827305
Tribeca,0.0002628954601673141
Neighborhood: Bronx,0.00025102295474143266
Sheepshead Bay,0.00023615337567068424
Bath Beach,0.0002348818041664139
Springfield Gardens,0.00023347381870478088
Flatbush,0.0002268066519289695
Nolita,0.00021612395992233487
Queens Village,0.00020506750433770435
Brownsville,0.0002008098000889019
Morningside Heights,0.00019696009378432017
Ridgewood,0.00019092211998180143
Richmond Hill,0.00019090329667815223
Canarsie,0.00018896280246797606
Inwood,0.0001871748089519805
Jamaica,0.000186766028608714
Fort Greene,0.00018341014863533357
Clinton Hill,0.00018164070194334178
East Morrisania,0.00017520750768169565
Neighborhood: Staten Island,0.0001750222339891395
Park Slope,0.0001699246141338568
Gravesend,0.00016869905089361164
Roosevelt Island,0.0001529772072324533
Forest Hills,0.00014860132930925626
Stuyvesant Town,0.0001450329777542288
Woodside,0.00014395677693565534
Washington Heights,0.00014170886119289412
